city,state,country,first_name,last_name,agent,publication_date
Columbus,Ohio,USA,Rev T,Lawrence,traveling,02-14-1844
Crawford,Ohio,USA,A,Allen,local,03-27-1844
Dayton,Ohio,USA,T,Jefferson,local,02-14-1844
Detroit,Michigan,USA,H,Bibb,local,10-23-1844
Detroit,Michigan,USA,R,Banks,local,02-14-1844
Detroit,Michigan,USA,W C,Monroe,local,02-14-1844
Dublin,Ohio,USA,S,White Jr,local,02-14-1844
East Liberty,Ohio,USA,E C,Tyner,traveling,NA
Gallipolis,Ohio,USA,H,Bell,local,02-14-1844
Gallipolis,Ohio,USA,J,Gee,local,02-14-1844
Geneva,New York,USA,J W,Duffin,local,02-14-1844
Granville,Ohio,USA,T,Walker,local,03-27-1844
Greenfield,Ohio,USA,A J,Scot,local,09-11-1844
Hamilton,Ohio,USA,Rev W C,Yancy,traveling,02-14-1844
Hamilton,Ohio,USA,J,Simpson,local,02-21-1844
Hillsboro,Ohio,USA,J,Tailor,local,02-14-1844
Hillsboro,Ohio,USA,N,Tailor,local,02-14-1844
Indianapolis,Indiana,USA,J G,Bretton,local,02-14-1844
Jackson,Ohio,USA,N,Nukes,local,02-14-1844
Jackson,Ohio,USA,Rev T,Woodson,local,02-14-1844
Lafayette,Indiana,USA,S B,Webster,local,03-27-1844
Lancaster,Ohio,USA,S,Smith,local,02-21-1844
Lancaster,Ohio,USA,N,Smith,local,02-21-1844
Lancaster,Ohio,USA,I,Martin,local,03-27-1844
Lebanon,Ohio,USA,T,Benford,local,02-14-1844
Lebanon,Ohio,USA,S,Lewis,local,10-02-1844
Licking,Ohio,USA,F J,Bailes,local,07-03-1844
Liverpool,Merseyside,England,E R,Lewis,local,09-25-1844
Lockbourne,Ohio,USA,E C,Tyner,local,02-14-1844
Lockport,New York,USA,A,Outley,local,02-14-1844
Logan County,Ohio,USA,D D,Day,local,03-27-1844
Logan County,Ohio,USA,K,Artis,local,02-14-1844
Logan County,Ohio,USA,Rev M T,Nusum,traveling,02-14-1844
